ID,Nombre,Estado,Creado,Actualizado,Estado de Compra,Factura,Fecha de factura,Fecha de pago,Moneda,Proveedor,Referencia,Tipo de cambio,Total del documento,Total indirectos,Total moneda ext
9153660777,390,active,2025-05-15T01:58:42Z,2025-07-03T02:24:52Z,,https://drillcompany.monday.com/protected_static/2306999/resources/2196310785/DRI0209273M1FFA029297.pdf,2025-05-06,,,DRILL COMPANY S.A. DE C.V.,FA29297,,,,
9153661133,391,active,2025-05-15T01:58:53Z,2025-07-03T02:24:47Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196311449/DRI0209273M1FFA029307.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2196311452/DRI0209273M1FFA029307.pdf",2025-05-07,,,DRILL COMPANY S.A. DE C.V.,FA29307,,,,
9477025687,397,active,2025-06-29T16:31:46Z,2025-07-03T02:24:49Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256926418/6924089c-4d70-4a5d-a451-48178aebd55a.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2256926419/6924089c-4d70-4a5d-a451-48178aebd55a.xml",2025-05-15,,,GUADALUPE POMPOSO DE JESUS,A14771,,,,
9477026214,398,active,2025-06-29T16:31:51Z,2025-07-03T02:24:49Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256927415/DRI0209273M1FFA029335.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256927414/DRI0209273M1FFA029335.pdf",2025-05-09,,,DRILL COMPANY S.A. DE C.V.,FA29335,,,,
9477029230,399,active,2025-06-29T16:34:44Z,2025-07-03T02:24:52Z,,https://drillcompany.monday.com/protected_static/2306999/resources/2256927488/DRI0209273M1FFA029336.xml,2025-05-09,,,DRILL COMPANY S.A. DE C.V.,FA29336,,,,
9477029658,400,active,2025-06-29T16:35:05Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256927540/DRI0209273M1FFA029337.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256927539/DRI0209273M1FFA029337.pdf",2025-05-09,,,DRILL COMPANY S.A. DE C.V.,FA29337,,,,
9477029982,401,active,2025-06-29T16:35:27Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256927628/DRI0209273M1FFA029338.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2256927629/DRI0209273M1FFA029338.xml",2025-05-09,,,DRILL COMPANY S.A. DE C.V.,FA29338,,,,
9477030402,402,active,2025-06-29T16:35:50Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256927710/DRI0209273M1FFA029339.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256927709/DRI0209273M1FFA029339.pdf",2025-05-09,,,DRILL COMPANY S.A. DE C.V.,FA29339,,,,
9477030666,403,active,2025-06-29T16:36:10Z,2025-07-03T02:24:53Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256927332/DRI0209273M1FFA029340.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256927331/DRI0209273M1FFA029340.pdf",2025-05-09,,,DRILL COMPANY S.A. DE C.V.,FA29340,,,,
9477032525,404,active,2025-06-29T16:38:30Z,2025-07-03T02:24:50Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256927907/DRI0209273M1FFA029328.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256927906/DRI0209273M1FFA029328.pdf",2025-05-08,,,DRILL COMPANY S.A. DE C.V.,FA29328,,,,
